Name,Image,DIY,Buy,Sell,Source,Source Notes
bamboo lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceBamboo.png,Yes,NFS,960,Crafting,Nook Miles Exchange
barbed-wire fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceBarbedWire.png,Yes,NFS,1980,Crafting,Nook Miles Exchange
brick fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceWallRenga.png,Yes,NFS,1200,Crafting,Nook Miles Exchange
Bunny Day fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceEgg.png,Yes,NFS,2400,Crafting,"Obtained randomly from villager, egg message bottle or egg balloon during Bunny Day event"
corral fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceHorizontalWood.png,Yes,NFS,720,Crafting,Nook Miles Exchange
country fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLog.png,Yes,NFS,720,Crafting,Nook Miles Exchange
hedge,https://acnhcdn.com/latest/FtrIcon/ItemFenceIkegaki.png,Yes,NFS,55,Crafting,Obtained from Tom Nook after completing one Nature Day Nook Miles+ task
imperial fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceChinese.png,Yes,NFS,1200,Crafting,Nook Miles Exchange
iron fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceSteel.png,Yes,NFS,4500,Crafting,Nook Miles Exchange
iron-and-stone fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceIronAndStone.png,Yes,NFS,3150,Crafting,Nook Miles Exchange
lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLatiiceNatural.png,Yes,NFS,960,Crafting,Nook Miles Exchange
rope fence,https://acnhcdn.com/latest/FtrIcon/ItemFencePegRope.png,Yes,NFS,3000,Crafting,Nook Miles Exchange
simple wooden fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceNatural.png,Yes,NFS,720,Crafting,Nook Miles Exchange
spiky fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceSharply.png,Yes,NFS,960,Crafting,Nook Miles Exchange
stone fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceStone.png,Yes,NFS,600,Crafting,Nook Miles Exchange
straw fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceDriedStraw.png,Yes,NFS,560,Crafting,Nook Miles Exchange
vertical-board fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceVerticalWood.png,Yes,NFS,960,Crafting,Nook Miles Exchange
wedding fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceJuneBride.png,Yes,NFS,411,,
zen fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceJapanese.png,Yes,NFS,3300,Crafting,Nook Miles Exchange
