nameKor,Name,Image,DIY,Buy,Sell,Source,Source Notes
대나무 울타리,bamboo lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceBamboo.png,Yes,NFS,960,Crafting,Nook Miles Exchange
가시철조망 울타리,barbed-wire fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceBarbedWire.png,Yes,NFS,1980,Crafting,Nook Miles Exchange
벽돌 울타리,brick fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceWallRenga.png,Yes,NFS,1200,Crafting,Nook Miles Exchange
이스터 울타리,Bunny Day fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceEgg.png,Yes,NFS,2400,Crafting,"Obtained randomly from villager, egg message bottle or egg balloon during Bunny Day event"
가로 널빤지 울타리,corral fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceHorizontalWood.png,Yes,NFS,720,Crafting,Nook Miles Exchange
통나무 울타리,country fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLog.png,Yes,NFS,720,Crafting,Nook Miles Exchange
낮은 나무 울타리,hedge,https://acnhcdn.com/latest/FtrIcon/ItemFenceIkegaki.png,Yes,NFS,55,Crafting,Obtained from Tom Nook after completing one Nature Day Nook Miles+ task
오리엔탈 울타리,imperial fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceChinese.png,Yes,NFS,1200,Crafting,Nook Miles Exchange
철제 울타리,iron fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceSteel.png,Yes,NFS,4500,Crafting,Nook Miles Exchange
아이언 스톤 울타리,iron-and-stone fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceIronAndStone.png,Yes,NFS,3150,Crafting,Nook Miles Exchange
격자 울타리,lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLatiiceNatural.png,Yes,NFS,960,Crafting,Nook Miles Exchange
페그 울타리,rope fence,https://acnhcdn.com/latest/FtrIcon/ItemFencePegRope.png,Yes,NFS,3000,Crafting,Nook Miles Exchange
소박한 목제 울타리,simple wooden fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceNatural.png,Yes,NFS,720,Crafting,Nook Miles Exchange
뾰족뾰족 울타리,spiky fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceSharply.png,Yes,NFS,960,Crafting,Nook Miles Exchange
돌 울타리,stone fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceStone.png,Yes,NFS,600,Crafting,Nook Miles Exchange
짚단 울타리,straw fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceDriedStraw.png,Yes,NFS,560,Crafting,Nook Miles Exchange
세로 널빤지 울타리,vertical-board fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceVerticalWood.png,Yes,NFS,960,Crafting,Nook Miles Exchange
웨딩 울타리,wedding fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceJuneBride.png,Yes,NFS,411,,
동양풍 울타리,zen fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceJapanese.png,Yes,NFS,3300,Crafting,Nook Miles Exchange
