id,Version,English,English (Europe),German,Spanish,Spanish (US),French,French (US),Italian,Dutch,Chinese,Chinese (Traditional),Japanese,Korean,Russian
Axe_02100,1.0.0,axe,axe,Axt,hacha,hacha,hache,hache,ascia,bijl,斧头,斧頭,オノ,도끼,топор
Axe_03068,1.0.0,flimsy axe,flimsy axe,Wackelaxt,hacha endeble,hacha frágil,hache rudimentaire,hache rudimentaire,ascia fragile,breekbare bijl,简陋斧头,簡陋斧頭,ショボいオノ,엉성한 도끼,непрочный топор
Axe_05856,1.0.0,stone axe,stone axe,Steinaxt,hacha de piedra,hacha de piedra,hache de pierre,hache de pierre,ascia di pietra,stenen bijl,石斧头,石斧頭,いしのオノ,돌도끼,каменный топор
Axe_09617,1.0.0,golden axe,golden axe,Goldaxt,hacha de oro,hacha de oro,hache dorée,hache dorée,ascia d'oro,gouden bijl,金色斧头,金色斧頭,きんのオノ,금도끼,золотой топор
Axe_12615,1.2.0,worn axe,worn axe,Morschaxt,hacha maltrecha,hacha maltrecha,hache émoussée,hache émoussée,ascia consumata,versleten bijl,快要坏掉的斧头,快壞掉的斧頭,こわれかけのオノ,튼튼하지 않은 도끼,видавший виды топор
ChangeStick_02544,1.0.0,star wand,star wand,Sternenstab,varita estrella,varita estrella,baguette étoile,baguette étoile,bacchetta stella,sterrenstaf,星星棒,星星棒,スターなステッキ,별 지팡이,палочка со звездой
ChangeStick_05083,1.0.0,hyacinth wand,hyacinth wand,Hyazinthenstab,varita jacinto,varita jacinto,baguette jacinthe,baguette jacinthe,bacchetta giacinto,hyacintenstaf,风信子棒,風信子棒,ヒヤシンスのステッキ,히아신스 지팡이,палочка с гиацинтом
ChangeStick_05084,1.0.0,windflower wand,windflower wand,Anemonenstab,varita anémona,varita anémona,baguette anémone,baguette anémone,bacchetta anemone,anemonenstaf,银莲花棒,銀蓮花棒,アネモネのステッキ,아네모네 지팡이,палочка с ветреницей
ChangeStick_05085,1.0.0,tulip wand,tulip wand,Tulpenstab,varita tulipán,varita tulipán,baguette tulipe,baguette tulipe,bacchetta tulipano,tulpenstaf,郁金香棒,鬱金香棒,チューリップのステッキ,튤립 지팡이,палочка с тюльпаном
ChangeStick_05091,1.0.0,pansy wand,pansy wand,Veilchenstab,varita viola,varita viola,baguette pensée,baguette pensée,bacchetta viola,viooltjesstaf,三色堇棒,三色堇棒,パンジーのステッキ,팬지 지팡이,палочка с фиалкой
ChangeStick_05092,1.0.0,cosmos wand,cosmos wand,Cosmeastab,varita cosmos,varita cosmos,baguette cosmos,baguette cosmos,bacchetta cosmea,cosmeastaf,波斯菊棒,波斯菊棒,コスモスのステッキ,코스모스 지팡이,палочка с космеей
ChangeStick_05093,1.0.0,rose wand,rose wand,Rosenstab,varita rosa,varita rosa,baguette rose,baguette rose,bacchetta rosa,rozenstaf,玫瑰棒,玫瑰棒,バラのステッキ,장미 지팡이,палочка с розой
ChangeStick_05094,1.0.0,lily wand,lily wand,Lilienstab,varita lirio,varita lirio,baguette lys,baguette lys,bacchetta giglio,leliestaf,百合棒,百合棒,ユリのステッキ,백합 지팡이,палочка с лилией
ChangeStick_05095,1.0.0,mums wand,mums wand,Chrysanthemenstab,varita crisantemo,varita crisantemo,baguette chrysanthème,baguette chrysanthème,bacchetta crisantemo,chrysantenstaf,菊花棒,菊花棒,キクのステッキ,국화 지팡이,палочка с хризантемой
ChangeStick_07584,1.0.0,wand,wand,Stab,varita,varita,baguette magique,baguette magique,bacchetta,toverstaf,棒子,棒子,ステッキ,지팡이,палочка
ChangeStick_07585,1.0.0,ice wand,ice wand,Eisstab,varita hielo,varita hielo,baguette glace,baguette glace,bacchetta ghiaccio,ijsstaf,冰之棒,冰之棒,こおりのステッキ,얼음 지팡이,ледяная палочка
ChangeStick_07586,1.0.0,shell wand,shell wand,Muschelstab,varita concha marina,varita caracola,baguette coquillage,baguette coquillage,bacchetta conchiglia,schelpenstaf,贝壳棒,貝殼棒,かいがらのステッキ,조개껍데기 지팡이,палочка с ракушкой
ChangeStick_07587,1.0.0,tree-branch wand,tree-branch wand,Zweigstab,varita rama,varita rama,baguette branche,baguette branche,bacchetta ramo,wilgenstaf,树枝棒,樹枝棒,きのえだのステッキ,나뭇가지 지팡이,палочка из ветки
ChangeStick_07588,1.0.0,mushroom wand,mushroom wand,Pilzstab,varita champiñón,varita champiñón,baguette champignon,baguette champignon,bacchetta fungo,paddenstoelstaf,蘑菇棒,蘑菇棒,キノコのステッキ,버섯 지팡이,грибная палочка
ChangeStick_07589,1.0.0,cherry-blossom wand,cherry-blossom wand,Kirschblütenstab,varita flor de cerezo,varita flor de cerezo,baguette fleurs de cerisier,baguette fleurs de cerisier,bacchetta ciliegio,kersenbloesemstaf,樱花棒,櫻花棒,さくらのステッキ,벚꽃 지팡이,палочка с сакурой
