id,Version,English,English (Europe),German,Spanish,Spanish (US),French,French (US),Italian,Dutch,Chinese,Chinese (Traditional),Japanese,Korean,Russian
Ftr_00080,1.0.0,clackercart,clackercart,Spielwagen,carrito carraca,carrito carraca,chariot de marche,chariot de marche,macchinina primi passi,loopwagen,学步推车,學步推車,ておしぐるま,장난감차,тележка-каталка
Ftr_00083,1.0.0,rocking horse,rocking horse,Schaukelpferd,caballo balancín,caballito de madera,cheval à bascule,cheval à bascule,cavalluccio,hobbelpaard,木马,木馬,もくば,목마,конь-качалка
Ftr_00085,1.0.0,train set,train set,Modelleisenbahn,tren eléctrico,tren eléctrico,train miniature,train miniature,pista trenino,treinset,铁道模型,鐵道模型,てつどうもけい,철도 모형,железная дорога
Ftr_00086,1.0.0,elephant slide,elephant slide,Elefantenrutsche,tobogán elefante,tobogán elefante,éléphoboggan,glissade éléphant,proboscivolo,olifantglijbaan,大象溜滑梯,大象溜滑梯,ゾウのすべりだい,코끼리 미끄럼틀,горка-слон
Ftr_00088,1.0.0,ringtoss,ringtoss,Ringwurfspiel,juego de lanzar aros,juego de lanzar aros,jeu lancer d'anneaux,jeu lancer d'anneaux,gioco degli anelli,ringwerpspel,套圈圈,套圈圈,わなげ,고리 던지기,игра с кольцами
Ftr_00109,1.0.0,moss ball,moss ball,Moosgesteck,bola de musgo,bola de musgo,boule de mousse,boule de mousse,vaso di muschio,mosbal,青苔球,青苔球,こけだま,이끼 볼,кокэдама
Ftr_00131,1.0.0,lucky cat,lucky cat,Glückskatze,gato de la suerte,gato de la suerte,chat fétiche,chat fétiche,gatto della fortuna,gelukskat,招财猫,招財貓,まねきねこ,복고양이,кот удачи
Ftr_00132,1.0.0,succulent plant,succulent plant,Sukkulente,aloe pequeño,aloe pequeño,pot de succulentes,pot de succulentes,pianta grassa,vetplant,多肉植物,多肉植物,たにくしょくぶつ,다육 식물,суккуленты
Ftr_00144,1.0.0,manhole cover,manhole cover,Kanaldeckel,tapa de cloaca,tapa de cloaca,plaque d'égout,plaque d'égout,tombino,putdeksel,人孔盖,人孔蓋,マンホール,맨홀,крышка люка
Ftr_00146,1.0.0,cone,cone,Absperrhütchen,cono,cono,cône orange,cône,cono,verkeerskegel,三角锥,三角錐,パイロン,칼라콘,конус
Ftr_00287,1.0.0,exercise bike,exercise bike,Fahrradergometer,bicicleta estática,bicicleta estática,vélo d'appartement,vélo d'appartement,cyclette,hometrainer,健身脚踏车,健身腳踏車,エクササイズバイク,자전거 머신,велосипед-тренажер
Ftr_00290,1.0.0,treadmill,treadmill,Laufband,cinta de correr,cinta de correr,tapis roulant,tapis roulant,tapis roulant,loopband,跑步机,跑步機,ランニングマシン,러닝 머신,беговая дорожка
Ftr_00330,1.0.0,barbecue,barbecue,Grill,barbacoa,parrilla,barbecue,barbecue,barbecue,barbecue,烤肉炉,烤肉爐,バーベキューグリル,바비큐 그릴,гриль
Ftr_00331,1.0.0,birdbath,birdbath,Vogeltränke,bañadero para pájaros,fuente para pájaros,bassin à oiseaux,bassin à oiseaux,vaschetta per uccelli,vogelbad,小鸟水盆,小鳥水盆,バードバス,수반,поилка для птиц
Ftr_00333,1.0.0,birdhouse,birdhouse,Vogelhaus,casita para pájaros,casita para pájaros,abri à oiseau,abri à oiseau,casetta per uccelli,vogelhuis,鸟巢屋,鳥巢屋,すばこ,새집,скворечник
Ftr_00335,1.0.0,Mr. Flamingo,Mr. Flamingo,Mr. Flamingo,Sr. Flamenco,Sr. Flamenco,M. Flamingo,M. Flamingo,fenicottero 1,meneer Flamingo,雄火烈鸟,雄紅鶴,おすのフラミンゴ,수컷 플라밍고,г-н Фламинго
Ftr_00336,1.0.0,Mrs. Flamingo,Mrs. Flamingo,Mrs. Flamingo,Sra. Flamenco,Sra. Flamenco,Mme Flamingo,Mme Flamingo,fenicottero 2,mevrouw Flamingo,雌火烈鸟,雌紅鶴,めすのフラミンゴ,암컷 플라밍고,г-жа Фламинго
Ftr_00338,1.0.0,lawn mower,lawn mower,Rasenmäher,cortacésped,cortadora de césped,tondeuse à gazon,tondeuse à gazon,tagliaerba,grasmaaier,割草机,割草機,しばかりき,잔디 깎기,газонокосилка
Ftr_00343,1.0.0,tiki torch,tiki torch,Fackel,antorcha,antorcha,flambeau,flambeau,torcia,tuinfakkel,火把,火把,たいまつ,횃불,факел
Ftr_00383,1.0.0,acoustic guitar,acoustic guitar,Akustikgitarre,guitarra acústica,guitarra acústica,guitare acoustique,guitare acoustique,chitarra acustica,akoestische gitaar,木吉他,木吉他,アコースティックギター,어쿠스틱기타,акустическая гитара
Ftr_00530,1.0.0,grass standee,grass standee,Pappgras,hierba de atrezo,césped de utilería,herbe en carton,herbe en carton,sagoma di erba,decoratiegras,草丛道具,草叢道具,ハリボテのくさ,연극용 잔디,бутафорская трава
Ftr_00531,1.0.0,hedge standee,hedge standee,Pappbusch,seto de atrezo,arbusto de utilería,buisson en carton,buisson en carton,sagoma di cespuglio,decoratieheg,树丛道具,樹叢道具,ハリボテのいけがき,연극용 산울타리,бутафорский куст
Ftr_00532,1.0.0,mountain standee,mountain standee,Papphügel,montaña de atrezo,colina de utilería,colline en carton,colline en carton,sagoma di collina,decoratieberg,假山道具,假山道具,ハリボテのやま,연극용 산,бутафорские горы
Ftr_00533,1.0.0,tree standee,tree standee,Pappbaum,árbol de atrezo,árbol de utilería,arbre en carton,arbre en carton,sagoma di albero,decoratieboom,假树道具,假樹道具,ハリボテのき,연극용 나무,бутафорское дерево
Ftr_00546,1.0.0,stadiometer,stadiometer,Stadiometer,estadiómetro,estadiómetro,toise,stadiomètre,misuratore di altezza,meter,身高尺,身高尺,しんちょうけい,신장 측정기,ростомер
Ftr_00664,1.0.0,beach chair,beach chair,Sonnenstuhl,silla de playa,silla de playa,transat,chaise de plage,sedia a sdraio,strandstoel,沙滩躺椅,沙灘躺椅,ビーチベッド,선베드,шезлонг
Ftr_00665,1.0.0,wave breaker,wave breaker,Wellenbrecher,rompeolas,rompeolas,brise-lames,brise-lames,frangionde,golfbreker,消波块,消波塊,しょうはブロック,방파제 블록,волнорез
Ftr_00667,1.0.0,shaved-ice maker,shaved-ice maker,Eismaschine,picadora de hielo,picadora de hielo,râpe-glace,râpe-glace,tritaghiaccio,ijsschaafmachine,刨冰机,刨冰機,かきごおりき,팥빙수 기계,прибор для строган. льда
Ftr_00669,1.0.0,ukulele,ukulele,Ukulele,ukelele,ukelele,ukulélé,ukulélé,ukulele,ukulele,乌克丽丽,烏克麗麗,ウクレレ,우쿨렐레,укулеле
Ftr_00676,1.0.0,tall lantern,tall lantern,Mega-Laterne,farol alto,farol alto,lanterne haute,lanterne haute,lanterna alta,hoge lantaarn,石灯笼,石燈籠,とうろう,석등,высокий фонарь
Ftr_00677,1.0.0,deer scare,deer scare,Wasserspiel,fuente de bambú,fuente de bambú,jeu d'eau,fontaine bambou,fontana di bambù,waterspeelgoed,竹流水造景,竹流水造景,ししおどし,대나무 분수,фонтан из бамбука
Ftr_00682,1.0.0,boomerang,boomerang,Bumerang,bumerán,bumerán,boomerang,boomerang,boomerang,boemerang,飞旋镖,迴力鏢,ブーメラン,부메랑,бумеранг
Ftr_00683,1.0.0,bottled ship,bottled ship,Flaschenschiff,barco en botella,barco en botella,bateau bouteille,bateau en bouteille,modellino di nave,flessenscheepje,瓶中船,瓶中船,ボトルシップ,보틀쉽,корабль в бутылке
Ftr_00685,1.0.0,Dala horse,Dala horse,Dalapferd,caballo de Dalecarlia,caballo de Dalecarlia,cheval de Dala,cheval de Dala,cavallo Dala,Dalapaard,达拉木马,達拉木馬,ダーラヘスト,달라헤스트,даларнская лошадка
